Annee;Serie;Code_Station;Id_Operation;Code_PMFM;Libelle_PMFM;Valeur
2 016;Campagne CGFS;U0402;11;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0403;12;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0404;13;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0405;14;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0406;15;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0407;16;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0408;17;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0409;18;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0410;19;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0411;20;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0414;21;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0415;22;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0416;23;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0417;24;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0418;25;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0419;26;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0420;27;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0421;28;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0422;29;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0423;30;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0424;31;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0425;32;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0426;33;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0427;34;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0428;35;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0429;36;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0430;37;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0431;38;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0432;39;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
