IDENTIFIANT_TAXON_HARMONIE;CODE_PERMANENT_REFTAX;CODE_MNEMONIQUE_REFTAX;APHIA_ID_WORMS;NOM_VALIDE;EST_REFERENT;CODE_LIEN_REFERENT_SYNONYME;NUMERO_D_ORDRE_SYSTEMATIQUE;NIVEAU_SYSTEMATIQUE;IDENTIFIANT_TAXON_PERE;IDENTIFIANT_AUTEUR_DATE;AUTEUR_DATE
33656;2108;DIPDBEL;305184;Diplodus senegalensis;NON;2108;373000000;Espèce;17153;1466;Cadenat, 1964
33654;1701;DIPDCER;127051;Diplodus cervinus;OUI;1701;373100000;Espèce;17153;678;(Lowe, 1838)
33882;1701;DIPDCER;321165;Sargus cervinus;NON;1701;373100000;Espèce;17153;678;(Lowe, 1838)
17155;1701;DIPDCER;236470;Diplodus cervinus cervinus;NON;1701;373100000;Sous-espèce = Variété (Plantae);17153;678;(Lowe, 1838)
33594;1701;DIPDCER;314061;Charax cervinus;NON;1701;373100000;Espèce;17153;4143;Lowe, 1838
33887;1701;DIPDCER;321182;Sargus trifasciatus;NON;1701;373100000;Espèce;17153;621;Rafinesque, 1810
33657;1701;DIPDCER;305185;Diplodus trifasciatus;NON;1701;373100000;Espèce;17153;645;(Rafinesque, 1810)
19000;3555;DIPDPRA;273973;Diplodus prayensis;OUI;3555;373180000;Espèce;17153;1466;Cadenat, 1964
33595;1702;DIPDPUN;314062;Charax puntazzo;NON;1702;373200001;Espèce;17153;676;(Walbaum, 1792)
17156;1702;DIPDPUN;127052;Diplodus puntazzo;OUI;1702;373200001;Espèce;17153;676;(Walbaum, 1792)
33884;1702;DIPDPUN;321179;Sargus puntazzo;NON;1702;373200001;Espèce;17153;676;(Walbaum, 1792)
33940;1702;DIPDPUN;305295;Sparus puntazzo;NON;1702;373200001;Espèce;17153;3493;Cetti, 1777
33878;1702;DIPDPUN;320882;Puntazzo puntazzo;NON;1702;373200001;Espèce;17153;676;(Walbaum, 1792)
21876;1703;DIPDSAR;238710;Diplodus sargus cadenati;NON;1703;373300001;Sous-espèce = Variété (Plantae);17153;2551;de la Paz, Bauchot & Daget, 1974
33888;1703;DIPDSAR;321183;Sargus vetula;NON;1703;373300001;Espèce;17153;804;Valenciennes, 1830
33885;1703;DIPDSAR;321180;Sargus rondelettii;NON;1703;373300001;Espèce;17153;804;Valenciennes, 1830
33942;1703;DIPDSAR;305301;Sparus sargus;NON;1703;373300001;Espèce;17153;1;Linnaeus, 1758
30527;1703;DIPDSAR;322811;Diplodus sargus typicus;NON;1703;373300001;Sous-espèce = Variété (Plantae);17153;1466;Cadenat, 1964
17157;1703;DIPDSAR;223863;Diplodus sargus sargus;NON;1703;373300001;Sous-espèce = Variété (Plantae);17153;62;(Linnaeus, 1758)
33655;1703;DIPDSAR;127053;Diplodus sargus;OUI;1703;373300001;Espèce;17153;62;(Linnaeus, 1758)
17158;1704;DIPDVUL;127054;Diplodus vulgaris;OUI;1704;373400003;Espèce;17153;668;(Geoffroy Saint-Hilaire, 1817)
33889;1704;DIPDVUL;;Sargus vulgaris;NON;1704;373400003;Espèce;17153;649;Geoffroy Saint-Hilaire, 1817
33886;1704;DIPDVUL;321181;Sargus salviani;NON;1704;373400003;Espèce;17153;804;Valenciennes, 1830
17159;1705;DENT;126075;Dentex;OUI;1705;373500000;Genre;17145;801;Cuvier, 1814
21889;6636;DENTCAN;127465;Dentex canariensis;OUI;6636;373500100;Espèce;17159;2558;Steindachner, 1881
17160;1706;DENTDEN;127467;Dentex dentex;OUI;1706;373600000;Espèce;17159;62;(Linnaeus, 1758)
33928;1706;DENTDEN;305256;Sparus dentex;NON;1706;373600000;Espèce;17159;1;Linnaeus, 1758
33652;1706;DENTDEN;305177;Dentex vulgaris;NON;1706;373600000;Espèce;17159;804;Valenciennes, 1830
33599;1707;DENTGIB;310673;Cheimerius filosus;NON;1707;373700000;Espèce;17159;784;(Valenciennes, 1843)
33649;1707;DENTGIB;305130;Dentex filosus;NON;1707;373700000;Espèce;17159;4730;Valenciennes, 1841
33933;1707;DENTGIB;305264;Sparus gibbosus;NON;1707;373700000;Espèce;17159;621;Rafinesque, 1810
17161;1707;DENTGIB;127466;Dentex gibbosus;OUI;1707;373700000;Espèce;17159;645;(Rafinesque, 1810)
23366;1707;DENTGIB;;Cheimerius gibbosus;NON;1707;373700000;Espèce;17159;;
28378;1708;DENTMAC;273965;Dentex macropthalmus;NON;1708;373800000;Espèce;17159;;
33875;1708;DENTMAC;312138;Polysteganus macrophthalmus;NON;1708;373800000;Espèce;17159;803;(Bloch, 1791)
33934;1708;DENTMAC;305278;Sparus macrophthalmus;NON;1708;373800000;Espèce;17159;3409;Bloch, 1791
33839;1708;DENTMAC;319829;Opsodentex macrophthalmus;NON;1708;373800000;Espèce;17159;803;(Bloch, 1791)
17162;1708;DENTMAC;127468;Dentex macrophthalmus;OUI;1708;373800000;Espèce;17159;803;(Bloch, 1791)
33650;1708;DENTMAC;401901;Dentex macrophtalmus;NON;1708;373800000;Espèce;17159;803;(Bloch, 1791)
23367;1709;DENTMAR;;Polysteganus maroccanus;NON;1709;373900000;Espèce;17159;;
33651;1709;DENTMAR;305156;Dentex parvulus;NON;1709;373900000;Espèce;17159;1537;de Brito Capello, 1867
33653;1709;DENTMAR;313227;Diagramma maroccanus;NON;1709;373900000;Espèce;17159;800;(Valenciennes, 1830)
17163;1709;DENTMAR;127469;Dentex maroccanus;OUI;1709;373900000;Espèce;17159;804;Valenciennes, 1830
21887;6634;VIRI;271216;Virididentex;OUI;6634;373900100;Genre;17145;2556;Poll, 1971
30538;6635;VIRIACR;;Sparus acromegalus;NON;6635;373900200;Espèce;21887;2557;(Osório, 1911)
30539;6635;VIRIACR;;Dentex acromegalus;NON;6635;373900200;Espèce;21887;4331;Osório, 1911
21888;6635;VIRIACR;283157;Virididentex acromegalus;OUI;6635;373900200;Espèce;21887;2557;(Osório, 1911)
17979;2528;LITO;126077;Lithognathus;OUI;2528;374000000;Genre;17145;842;Swainson, 1839
33848;2800;LITOLIT;305192;Pagellus lithognathus;NON;2800;374100000;Espèce;17979;687;(Cuvier, 1829)
18251;2800;LITOLIT;218604;Lithognathus lithognathus;OUI;2800;374100000;Espèce;17979;687;(Cuvier, 1829)
24029;2800;LITOLIT;305186;Lithognathus capensis;NON;2800;374100000;Espèce;17979;842;Swainson, 1839
33746;2800;LITOLIT;401903;Lithognatus lithognathus;NON;2800;374100000;Espèce;17979;687;(Cuvier, 1829)
33857;2800;LITOLIT;305210;Pagrus lithognathus;NON;2800;374100000;Espèce;17979;647;Cuvier, 1829
33937;1710;LITOMOR;305286;Sparus mormyrus;NON;1710;374200000;Espèce;17979;1;Linnaeus, 1758
17164;1710;LITOMOR;127055;Lithognathus mormyrus;OUI;1710;374200000;Espèce;17979;62;(Linnaeus, 1758)
33849;1710;LITOMOR;305193;Pagellus mormyrus;NON;1710;374200000;Espèce;17979;62;(Linnaeus, 1758)
33847;1710;LITOMOR;305191;Pagellus goreensis;NON;1710;374200000;Espèce;17979;804;Valenciennes, 1830
17588;2134;OBLA;126078;Oblada;OUI;2134;374300000;Genre;17145;647;Cuvier, 1829
33837;1711;OBLAMEL;401904;Oblata melanura;NON;1711;374400000;Espèce;17588;4624;Steindachner, 1867
33936;1711;OBLAMEL;305283;Sparus melanurus;NON;1711;374400000;Espèce;17588;1;Linnaeus, 1758
17165;1711;OBLAMEL;127056;Oblada melanura;OUI;1711;374400000;Espèce;17588;62;(Linnaeus, 1758)
17166;1712;PAGE;126079;Pagellus;OUI;1712;374500000;Genre;17145;804;Valenciennes, 1830
29149;3217;PAGEBEL;305126;Dentex cuninghamii;NON;3217;374600000;Espèce;17166;2463;Regan, 1905
29150;3217;PAGEBEL;305190;Pagellus coupei;NON;3217;374600000;Espèce;17166;3643;Dieuzeide, 1960
34089;3217;PAGEBEL;;Pagellus bellottii belottii;NON;3217;374600000;Espèce;17166;1325;Steindachner, 1882
