RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,DateofCalculation
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88041,41,1988,10,20,0948,-9,30,D,49.9177,-0.4227,49.9217,-0.3757,28E9,53,V,C8841,1,1,C,3.5000,-9,-9,3302,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88042,42,1988,10,20,1248,-9,15,D,49.6500,-0.2423,49.6510,-0.2217,28E9,38,V,C8842,1,1,C,3.5000,-9,-9,1689,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88001,1,1988,10,10,1233,-9,15,D,50.9187,1.6363,50.9080,1.6227,30F1,26,V,C881,1,1,C,3.5000,-9,-9,1103,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88002,2,1988,10,10,1436,-9,30,D,50.8580,1.3363,50.8333,1.3237,30F1,34,V,C882,1,1,C,3.5000,-9,-9,3407,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88003,3,1988,10,10,1637,-9,15,D,50.7717,1.5530,50.7863,1.5540,30F1,23,V,C883,1,1,C,3.5000,-9,-9,1486,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,18.5,18.5,33.97,33.67,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88004,4,1988,10,11,0803,-9,16,D,50.6677,1.5413,50.6500,1.5423,30F1,26,V,C884,1,1,C,3.5000,-9,-9,2041,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,18.5,18.6,33.97,33.72,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88005,5,1988,10,11,0903,-9,15,D,50.5853,1.5187,50.5717,1.5050,30F1,30,V,C885,1,1,C,3.5000,-9,-9,1536,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88061,61,1988,10,25,1544,-9,15,D,50.7550,-0.2893,50.7560,-0.2687,30E9,18,V,C8861,1,1,C,3.5000,-9,-9,1646,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88062,62,1988,10,25,1635,-9,11,D,50.7363,-0.2737,50.7353,-0.2560,30E9,21,V,C8862,1,1,C,3.5000,-9,-9,1301,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88063,63,1988,10,26,1041,-9,30,D,50.4217,-0.5893,50.4090,-0.6217,29E9,63,V,C8863,1,1,C,3.5000,-9,-9,2502,250,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88064,64,1988,10,26,1414,-9,30,D,50.1833,-0.6757,50.1853,-0.6560,29E9,53,V,C8864,1,1,C,3.5000,-9,-9,1586,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88065,65,1988,10,28,1220,-9,28,D,50.0903,-1.2560,50.0833,-1.2913,29E8,70,V,C8865,1,1,C,3.5000,-9,-9,2919,250,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88066,66,1988,10,28,1416,-9,30,D,50.1000,-1.1843,50.1010,-1.1510,29E8,60,V,C8866,1,1,C,3.5000,-9,-9,2386,250,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88067,67,1988,10,28,1640,-9,30,D,50.1080,-0.9893,50.1187,-0.9580,29E9,57,V,C8867,1,1,C,3.5000,-9,-9,2260,250,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88068,68,1988,10,29,0813,-9,30,D,49.9580,-0.5707,49.9550,-0.6167,28E9,53,V,C8868,1,1,C,3.5000,-9,-9,3148,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88043,43,1988,10,20,1357,-9,30,D,49.6167,-0.3070,49.6177,-0.3500,28E9,33,V,C8843,1,1,C,3.5000,-9,-9,2764,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88044,44,1988,10,20,1546,-9,15,D,49.4833,-0.3580,49.4843,-0.3853,27E9,45,V,C8844,1,1,C,3.5000,-9,-9,1695,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88045,45,1988,10,21,0733,-9,15,D,49.4030,-0.3247,49.4040,-0.3510,27E9,28,V,C8845,1,1,C,3.5000,-9,-9,1578,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88046,46,1988,10,21,0926,-9,15,D,49.4550,-0.6677,49.4540,-0.6413,27E9,30,V,C8846,1,1,C,3.5000,-9,-9,1576,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88047,47,1988,10,21,1049,-9,15,D,49.3903,-0.7187,49.3883,-0.6903,27E9,26,V,C8847,1,1,C,3.5000,-9,-9,1847,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88048,48,1988,10,21,1245,-9,15,D,49.4530,-0.8863,49.4520,-0.8590,27E9,27,V,C8848,1,1,C,3.5000,-9,-9,1693,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88049,49,1988,10,21,1359,-9,17,D,49.4207,-0.9687,49.4187,-0.9393,27E9,25,V,C8849,1,1,C,3.5000,-9,-9,1963,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
